country_code,episode,start,end,n_obs,mean_value,median_value,max_value
DE,Dot-com bust,2000-01-01,2002-12-31,36,3.189748351358911,3.3132974020148973,4.2187792472366885
DE,Global Financial Crisis,2007-07-01,2009-06-30,24,1.3088452358015588,0.41400418248484505,3.7833420513631153
DE,Euro-area sovereign stress,2010-01-01,2012-12-31,36,-0.9408225045106335,-1.0761463149056945,0.2169516196870952
DE,China/commodity/EM stress,2015-06-01,2016-03-31,10,-2.0616107852815304,-2.1367893494365426,-1.6959311781417048
DE,COVID-19 shock,2020-02-01,2020-06-30,5,0.5259570230967234,0.7384856918384176,1.5889371842431983
DE,Inflation/tightening stress,2022-01-01,2023-12-31,1,-1.1642747595355116,-1.1642747595355116,-1.1642747595355116
ES,Dot-com bust,2000-01-01,2002-12-31,24,2.0672370444644845,2.0928793609948197,2.416753489080459
ES,Global Financial Crisis,2007-07-01,2009-06-30,24,2.4083296172425634,2.6125264791168323,3.8316432376071945
ES,Euro-area sovereign stress,2010-01-01,2012-12-31,36,-1.4787035653397045,-1.1654317640242093,-0.2701979578485972
ES,China/commodity/EM stress,2015-06-01,2016-03-31,10,-2.072515295374386,-2.141576211700797,-1.6065525258603732
ES,COVID-19 shock,2020-02-01,2020-06-30,5,-1.2400762390382476,-1.3433099906952408,-0.923371404220307
ES,Inflation/tightening stress,2022-01-01,2023-12-31,1,-0.524209977937685,-0.524209977937685,-0.524209977937685
UK,Dot-com bust,2000-01-01,2002-12-31,36,0.5208819975427781,0.44041458153561835,1.640938808158919
UK,Global Financial Crisis,2007-07-01,2009-06-30,24,4.085336194617804,3.1717638321944754,8.115701861443817
UK,Euro-area sovereign stress,2010-01-01,2012-12-31,36,0.34580239462904916,0.18244011832950618,1.9471065304423407
UK,China/commodity/EM stress,2015-06-01,2016-03-31,10,-0.9634648366770806,-0.974805313843595,-0.4372052371031286
UK,COVID-19 shock,2020-02-01,2020-06-30,5,1.9837596914525082,2.1486533561922903,3.7509986744875663
UK,Inflation/tightening stress,2022-01-01,2023-12-31,1,-2.0126612144497855,-2.0126612144497855,-2.0126612144497855
US,Dot-com bust,2000-01-01,2002-12-31,36,-0.15525494083700928,-0.2273930797522668,1.1679693753517162
US,Global Financial Crisis,2007-07-01,2009-06-30,24,4.372508761459501,3.502445315490382,7.975706429427603
US,Euro-area sovereign stress,2010-01-01,2012-12-31,36,1.805529791876182,1.8959937974166725,3.5556581499284823
US,China/commodity/EM stress,2015-06-01,2016-03-31,10,-0.5575805623375762,-0.6016327297349555,0.0104848978405619
US,COVID-19 shock,2020-02-01,2020-06-30,4,1.829168939061435,2.555400943340363,2.9900468356228087
US,Inflation/tightening stress,2022-01-01,2023-12-31,1,-1.823214409350434,-1.823214409350434,-1.823214409350434
