date,country_code,indicator_code,block,direction,value,value_aligned,value_winsor,z_value
1946-10-31,US,CREDIT_GROWTH,Credit & leverage,1,17.091424422009304,17.091424422009304,17.091424422009304,2.27167953533545
1946-11-30,US,CREDIT_GROWTH,Credit & leverage,1,17.091424422009304,17.091424422009304,17.091424422009304,2.27167953533545
1946-12-31,US,CREDIT_GROWTH,Credit & leverage,1,17.091424422009304,17.091424422009304,17.091424422009304,2.27167953533545
1947-01-31,US,CREDIT_GROWTH,Credit & leverage,1,17.206113733423244,17.206113733423244,17.206113733423244,2.3008995630384597
1947-02-28,US,CREDIT_GROWTH,Credit & leverage,1,17.206113733423244,17.206113733423244,17.206113733423244,2.3008995630384597
1947-03-31,US,CREDIT_GROWTH,Credit & leverage,1,17.206113733423244,17.206113733423244,17.206113733423244,2.3008995630384597
1947-04-30,US,CREDIT_GROWTH,Credit & leverage,1,17.3117826795798,17.3117826795798,17.206113733423244,2.3008995630384597
1947-05-31,US,CREDIT_GROWTH,Credit & leverage,1,17.3117826795798,17.3117826795798,17.206113733423244,2.3008995630384597
1947-06-30,US,CREDIT_GROWTH,Credit & leverage,1,17.3117826795798,17.3117826795798,17.206113733423244,2.3008995630384597
1947-07-31,US,CREDIT_GROWTH,Credit & leverage,1,17.41071892166943,17.41071892166943,17.206113733423244,2.3008995630384597
1947-08-31,US,CREDIT_GROWTH,Credit & leverage,1,17.41071892166943,17.41071892166943,17.206113733423244,2.3008995630384597
1947-09-30,US,CREDIT_GROWTH,Credit & leverage,1,17.41071892166943,17.41071892166943,17.206113733423244,2.3008995630384597
1947-10-31,US,CREDIT_GROWTH,Credit & leverage,1,17.503375843961,17.503375843961,17.206113733423244,2.3008995630384597
1947-11-30,US,CREDIT_GROWTH,Credit & leverage,1,17.503375843961,17.503375843961,17.206113733423244,2.3008995630384597
1947-12-31,US,CREDIT_GROWTH,Credit & leverage,1,17.503375843961,17.503375843961,17.206113733423244,2.3008995630384597
1948-01-31,US,CREDIT_GROWTH,Credit & leverage,1,16.436858759229068,16.436858759229068,16.436858759229068,2.1049122353658323
1948-02-29,US,CREDIT_GROWTH,Credit & leverage,1,16.436858759229068,16.436858759229068,16.436858759229068,2.1049122353658323
1948-03-31,US,CREDIT_GROWTH,Credit & leverage,1,16.436858759229068,16.436858759229068,16.436858759229068,2.1049122353658323
1948-04-30,US,CREDIT_GROWTH,Credit & leverage,1,15.403164201632702,15.403164201632702,15.403164201632702,1.841552178207576
1948-05-31,US,CREDIT_GROWTH,Credit & leverage,1,15.403164201632702,15.403164201632702,15.403164201632702,1.841552178207576
