date,country_code,fci_ew
1946-10-31,US,2.27167953533545
1946-11-30,US,2.27167953533545
1946-12-31,US,2.27167953533545
1947-01-31,US,2.3008995630384597
1947-02-28,US,2.3008995630384597
1947-03-31,US,2.3008995630384597
1947-04-30,US,2.3008995630384597
1947-05-31,US,2.3008995630384597
1947-06-30,US,2.3008995630384597
1947-07-31,US,2.3008995630384597
1947-08-31,US,2.3008995630384597
1947-09-30,US,2.3008995630384597
1947-10-31,US,2.3008995630384597
1947-11-30,US,2.3008995630384597
1947-12-31,US,2.3008995630384597
1948-01-31,US,2.1049122353658323
1948-02-29,US,2.1049122353658323
1948-03-31,US,2.1049122353658323
1948-04-30,US,1.841552178207576
1948-05-31,US,1.841552178207576
1948-06-30,US,1.841552178207576
1948-07-31,US,1.5963198969412524
1948-08-31,US,1.5963198969412524
1948-09-30,US,1.5963198969412524
1948-10-31,US,1.3692536548446281
1948-11-30,US,1.3692536548446281
1948-12-31,US,1.3692536548446281
1949-01-31,US,0.9858725525417684
1949-02-28,US,0.9858725525417684
1949-03-31,US,0.9858725525417684
1949-04-30,US,0.6328119458276826
1949-05-31,US,0.6328119458276826
1949-06-30,US,0.6328119458276826
1949-07-31,US,0.29778583799045644
1949-08-31,US,0.29778583799045644
1949-09-30,US,0.29778583799045644
1949-10-31,US,-0.017142370326458847
1949-11-30,US,-0.017142370326458847
1949-12-31,US,-0.017142370326458847
1950-01-31,US,0.4921477048228807
1950-02-28,US,0.4921477048228807
1950-03-31,US,0.4921477048228807
1950-04-30,US,0.9872743188516468
1950-05-31,US,0.9872743188516468
1950-06-30,US,0.9872743188516468
1950-07-31,US,1.4687175892593456
1950-08-31,US,1.4687175892593456
1950-09-30,US,1.4687175892593456
1950-10-31,US,1.9317822467024461
1950-11-30,US,1.9317822467024461
1950-12-31,US,1.9317822467024461
1951-01-31,US,1.6809535470560861
1951-02-28,US,1.6809535470560861
1951-03-31,US,1.6809535470560861
1951-04-30,US,1.4458195613761928
1951-05-31,US,1.4458195613761928
1951-06-30,US,1.4458195613761928
1951-07-31,US,1.2248183768419136
1951-08-31,US,1.2248183768419136
1951-09-30,US,1.2248183768419136
1951-10-31,US,1.019155172736135
1951-11-30,US,1.019155172736135
1951-12-31,US,1.019155172736135
1952-01-31,US,0.4885184087388848
1952-02-29,US,0.4885184087388848
1952-03-31,US,0.4885184087388848
1952-04-30,US,0.590081201045797
1952-05-31,US,0.590081201045797
1952-06-30,US,0.590081201045797
1952-07-31,US,0.5400773853480462
1952-08-31,US,0.5400773853480462
1952-09-30,US,0.5400773853480462
1952-10-31,US,0.7579896287674273
1952-11-30,US,0.7579896287674273
1952-12-31,US,0.7579896287674273
1953-01-31,US,0.9700461756447477
1953-02-28,US,0.9700461756447477
1953-03-31,US,0.9700461756447477
1953-04-30,US,0.854761136386962
1953-05-31,US,0.854761136386962
1953-06-30,US,0.854761136386962
1953-07-31,US,0.6125880433045257
1953-08-31,US,0.6125880433045257
1953-09-30,US,0.6125880433045257
1953-10-31,US,0.07591308371786187
1953-11-30,US,0.07591308371786187
1953-12-31,US,0.07591308371786187
1954-01-31,US,-0.28209075981804205
1954-02-28,US,-0.28209075981804205
1954-03-31,US,-0.28209075981804205
1954-04-30,US,-0.48320090079272526
1954-05-31,US,-0.48320090079272526
1954-06-30,US,-0.48320090079272526
1954-07-31,US,-0.3520410415630463
1954-08-31,US,-0.3520410415630463
1954-09-30,US,-0.3520410415630463
1954-10-31,US,-0.0014122584166900655
1954-11-30,US,-0.0014122584166900655
1954-12-31,US,-0.0014122584166900655
1955-01-31,US,-0.08168988262404545
1955-02-28,US,-0.1429425050035266
1955-03-31,ES,-0.5707524796907223
1955-03-31,US,-0.17356881619326733
1955-04-30,ES,-0.504359209661122
1955-04-30,US,0.13689962248312104
1955-05-31,ES,-0.49307529035402553
1955-05-31,US,0.014394377724158691
1955-06-30,ES,-0.4736000622379439
1955-06-30,US,-0.01623193346558177
1955-07-31,ES,-0.49120258307921116
1955-07-31,US,0.026539549261351714
1955-08-31,ES,-0.374919241096488
1955-08-31,US,0.08779217164083292
1955-09-30,ES,-0.25623004070395156
1955-09-30,US,0.057165860451092176
1955-10-31,ES,-0.19888716887310018
1955-10-31,US,0.24278529526676879
1955-11-30,ES,-0.2799120427547501
1955-11-30,US,0.21215898407702832
1955-12-31,ES,-0.39334708879913716
1955-12-31,US,0.21215898407702832
1956-01-31,DE,0.09606443689827204
1956-01-31,ES,-0.4919494398883644
1956-01-31,UK,0.02766742869056871
1956-01-31,US,0.08633684341962611
1956-02-29,DE,0.3535859275074461
1956-02-29,ES,-0.3183391797969926
1956-02-29,UK,0.02766742869056871
1956-02-29,US,0.07102368782475588
1956-03-31,DE,0.7792524117377164
1956-03-31,ES,-0.20668334479497769
1956-03-31,UK,0.32390812461692625
1956-03-31,US,0.11696315460936668
1956-04-30,DE,0.79123601543421
1956-04-30,ES,-0.10865662626382351
1956-04-30,UK,0.5162055080494509
1956-04-30,US,-0.01746661745007161
1956-05-31,DE,0.7944487504947652
1956-05-31,ES,-0.02768202515795124
1956-05-31,UK,0.5128858520653911
1956-05-31,US,0.06313643296714166
1956-06-30,DE,0.7061028815332985
1956-06-30,ES,-0.04100171362144324
1956-06-30,UK,0.016525936301423322
1956-06-30,US,0.13246372980500726
1956-07-31,DE,0.32418601909208306
1956-07-31,ES,-0.10100830053491575
1956-07-31,UK,-0.15254296326145278
1956-07-31,US,0.04399449465182009
1956-08-31,DE,0.3283769681583964
1956-08-31,ES,-0.10865662626382351
1956-08-31,UK,0.07518743233487352
1956-08-31,US,-0.03647923299474676
1956-09-30,DE,0.4129797156203169
1956-09-30,ES,-0.09959454103601911
1956-09-30,UK,-0.11038779953024282
1956-09-30,US,-0.06774748416674176
1956-10-31,DE,0.005092709919579552
1956-10-31,ES,-0.08685289673977055
1956-10-31,UK,-0.2162652648671531
1956-10-31,US,-0.19419193340247598
1956-11-30,DE,0.003554779349171755
1956-11-30,ES,0.10068978605270726
1956-11-30,UK,-0.4790365941049937
1956-11-30,US,-0.13293931102299483
1956-12-31,DE,0.0020260823368416225
