country_code,episode,start,end,n_obs,mean_value,median_value,max_value
DE,Dot-com bust,2000-01-01,2002-12-31,36,0.23557483797480538,0.2708962982130056,0.5906038840408603
DE,Global Financial Crisis,2007-07-01,2009-06-30,24,0.276532741850059,0.1868227009875963,0.8717681642294908
DE,Euro-area sovereign stress,2010-01-01,2012-12-31,36,-0.3363627885944957,-0.3458561833243141,0.0781842416994564
DE,China/commodity/EM stress,2015-06-01,2016-03-31,10,-0.384431708447195,-0.40182916084123943,-0.2186580765385593
DE,COVID-19 shock,2020-02-01,2020-06-30,5,0.4841773202125103,0.5660696343300049,0.7536937127439545
DE,Inflation/tightening stress,2022-01-01,2023-12-31,24,0.4241382031837835,0.40157811016253664,0.8599293909199918
ES,Dot-com bust,2000-01-01,2002-12-31,36,0.02656831317909965,-0.03485037910217005,0.9533528175924136
ES,Global Financial Crisis,2007-07-01,2009-06-30,24,0.29506771541864385,0.2626350684986841,0.9026081273677662
ES,Euro-area sovereign stress,2010-01-01,2012-12-31,36,0.019516836519517033,0.01997477566603825,0.4834234208499039
ES,China/commodity/EM stress,2015-06-01,2016-03-31,10,-0.2329505514139254,-0.29423420536893996,0.4614752984049356
ES,COVID-19 shock,2020-02-01,2020-06-30,5,0.29389055394890273,0.3316965106118855,0.6900283039931299
ES,Inflation/tightening stress,2022-01-01,2023-12-31,24,-0.24996068636413904,-0.2983680426950141,0.3987450483311018
UK,Dot-com bust,2000-01-01,2002-12-31,36,-0.15579875210421723,-0.1896470238175266,0.2022811287274106
UK,Global Financial Crisis,2007-07-01,2009-06-30,24,0.35867389948994116,0.2624503571159127,1.0294722839643553
UK,Euro-area sovereign stress,2010-01-01,2012-12-31,36,-0.0377740464003862,-0.0293815664451972,0.3564186333414167
UK,China/commodity/EM stress,2015-06-01,2016-03-31,10,-0.36278749341833105,-0.4694192240589588,0.0797661404111361
UK,COVID-19 shock,2020-02-01,2020-06-30,5,0.30189682385120864,0.325882344090598,0.6346449585198011
UK,Inflation/tightening stress,2022-01-01,2023-12-31,24,-0.1835521590197863,-0.1731083379585462,0.4475338240512624
US,Dot-com bust,2000-01-01,2002-12-31,36,0.08967670401460777,0.09115511822533065,0.6941874004821225
US,Global Financial Crisis,2007-07-01,2009-06-30,24,0.48224904061834195,0.3631026124004968,1.3509621997524983
US,Euro-area sovereign stress,2010-01-01,2012-12-31,36,0.06907630137972094,0.030140859208779354,0.7126674540857719
US,China/commodity/EM stress,2015-06-01,2016-03-31,10,-0.4056559267513865,-0.43874847833445385,-0.2174203600537203
US,COVID-19 shock,2020-02-01,2020-06-30,5,1.092381043946209,1.2263237093715706,1.6938867906924822
US,Inflation/tightening stress,2022-01-01,2023-12-31,24,0.05003654592977221,0.0588529145232088,0.5026192191151505
