date,country_code,block,block_value
1955-09-30,ES,Macro vulnerability,-0.25623004070395156
1955-09-30,US,Credit & leverage,1.1535831043383022
1955-09-30,US,Macro vulnerability,-1.039251383436118
1955-10-31,ES,Macro vulnerability,-0.19888716887310018
1955-10-31,US,Credit & leverage,1.402316729210693
1955-10-31,US,Macro vulnerability,-0.9167461386771555
1955-11-30,ES,Macro vulnerability,-0.2799120427547501
1955-11-30,US,Credit & leverage,1.402316729210693
1955-11-30,US,Macro vulnerability,-0.9779987610566364
1955-12-31,ES,Macro vulnerability,-0.39334708879913716
1955-12-31,US,Credit & leverage,1.402316729210693
1955-12-31,US,Macro vulnerability,-0.9779987610566364
1956-01-31,DE,Credit & leverage,0.9497757571908431
1956-01-31,DE,Macro vulnerability,-0.757646883394299
1956-01-31,ES,Macro vulnerability,-0.4919494398883644
1956-01-31,UK,Macro vulnerability,0.02766742869056871
1956-01-31,US,Credit & leverage,1.330884701470593
1956-01-31,US,Macro vulnerability,-1.1582110146313407
1956-02-29,DE,Credit & leverage,0.9497757571908431
1956-02-29,DE,Macro vulnerability,-0.2426039021759509
1956-02-29,ES,Macro vulnerability,-0.3183391797969926
1956-02-29,UK,Macro vulnerability,0.02766742869056871
1956-02-29,US,Credit & leverage,1.330884701470593
1956-02-29,US,Macro vulnerability,-1.1888373258210811
1956-03-31,DE,Credit & leverage,0.9497757571908431
1956-03-31,DE,Macro vulnerability,0.6087290662845897
1956-03-31,ES,Macro vulnerability,-0.20668334479497769
1956-03-31,UK,Macro vulnerability,0.32390812461692625
1956-03-31,US,Credit & leverage,1.330884701470593
1956-03-31,US,Macro vulnerability,-1.0969583922518595
1956-04-30,DE,Credit & leverage,0.9737429645838301
1956-04-30,DE,Macro vulnerability,0.6087290662845897
1956-04-30,ES,Macro vulnerability,-0.10865662626382351
1956-04-30,UK,Macro vulnerability,0.5162055080494509
1956-04-30,US,Credit & leverage,1.053950501403712
1956-04-30,US,Macro vulnerability,-1.0888837363038553
1956-05-31,DE,Credit & leverage,0.9737429645838301
1956-05-31,DE,Macro vulnerability,0.6151545364057002
1956-05-31,ES,Macro vulnerability,-0.02768202515795124
1956-05-31,UK,Macro vulnerability,0.5128858520653911
1956-05-31,US,Credit & leverage,1.053950501403712
1956-05-31,US,Macro vulnerability,-0.9276776354694287
1956-06-30,DE,Credit & leverage,0.9737429645838301
1956-06-30,DE,Macro vulnerability,0.4384627984827668
1956-06-30,ES,Macro vulnerability,-0.04100171362144324
1956-06-30,UK,Macro vulnerability,0.016525936301423322
1956-06-30,US,Credit & leverage,1.053950501403712
1956-06-30,US,Macro vulnerability,-0.7890230417936975
1956-07-31,DE,Credit & leverage,0.7375777537147779
1956-07-31,DE,Macro vulnerability,-0.08920571553061173
1956-07-31,ES,Macro vulnerability,-0.10100830053491575
1956-07-31,UK,Macro vulnerability,-0.15254296326145278
1956-07-31,US,Credit & leverage,0.7786105184420508
1956-07-31,US,Macro vulnerability,-0.6906215291384106
1956-08-31,DE,Credit & leverage,0.7375777537147779
1956-08-31,DE,Macro vulnerability,-0.08082381739798505
1956-08-31,ES,Macro vulnerability,-0.10865662626382351
1956-08-31,UK,Macro vulnerability,0.07518743233487352
1956-08-31,US,Credit & leverage,0.7786105184420508
1956-08-31,US,Macro vulnerability,-0.8515689844315443
1956-09-30,DE,Credit & leverage,0.7375777537147779
1956-09-30,DE,Macro vulnerability,0.08838167752585596
1956-09-30,ES,Macro vulnerability,-0.09959454103601911
1956-09-30,UK,Macro vulnerability,-0.11038779953024282
1956-09-30,US,Credit & leverage,0.7786105184420508
1956-09-30,US,Macro vulnerability,-0.9141054867755343
1956-10-31,DE,Credit & leverage,0.44191594691629377
1956-10-31,DE,Macro vulnerability,-0.43173052707713466
