index,indicator_code,avg_loading,median_loading,std_loading,min,max,abs_avg_loading
3,CS_CORP,0.3663590135248926,0.4207969924924434,0.18333977072708585,0.1045205041141272,0.5193215650005564,0.3663590135248926
11,VIX_EQ,0.3370361427568116,0.373225641618255,0.16198159171589718,0.1094353643263094,0.4922579234644271,0.3370361427568116
0,C2GDP_GAP,0.33637243454256177,0.3745848586230211,0.2344175500469295,0.037820842742224,0.5584991781819808,0.33637243454256177
4,DSR,0.25643468165997524,0.21758605529475766,0.16093069999398418,0.1247568371117848,0.4658097789386008,0.25643468165997524
8,LIQ_SPREAD,0.2049138525315619,0.1888494493304386,0.08141996763820801,0.1244950868949064,0.317461424570464,0.2049138525315619
7,HPI_GROWTH,-0.18762327726253009,-0.24195292637269694,0.31656411140832436,-0.5095057542598642,0.2429184979551378,0.18762327726253009
6,GDP_GROWTH,0.17196327610886658,0.24864231823906635,0.2519007707513214,-0.1898801829869743,0.3804486509443079,0.17196327610886658
10,UNEMP,0.06633688095419633,0.21868260547240892,0.4008104360270484,-0.513114311284362,0.3410966241563295,0.06633688095419633
9,TS_SLOPE,0.037762498364302025,-0.0057187099720355,0.13989477566657374,-0.0687894930121328,0.2312769064134119,0.037762498364302025
2,CREDIT_GROWTH,0.029480913925088073,-0.02756104445272655,0.28987035059028304,-0.2481745401054358,0.4212202847112412,0.029480913925088073
5,EPU,-0.022130138042162406,-0.0947731201461871,0.18255491555364156,-0.1438160725497471,0.2448417606734717,0.022130138042162406
1,CPI_INFL,0.011416845332783348,0.0048231155866003,0.0608476205571121,-0.053404445444603,0.0894255956025358,0.011416845332783348
