country_code,indicator_code,loading
DE,C2GDP_GAP,0.4828923869750165
DE,CPI_INFL,-0.014323416498354447
DE,CREDIT_GROWTH,0.05908364565007407
DE,CS_CORP,0.3823491036151485
DE,DSR,0.4658097789386008
DE,EPU,-0.05388654215508288
DE,GDP_GROWTH,0.20278491152760092
DE,HPI_GROWTH,-0.2956210693666465
DE,LIQ_SPREAD,0.12449508689490642
DE,TS_SLOPE,-0.06878949301213284
DE,UNEMP,0.3410966241563295
DE,VIX_EQ,0.36325486029108733
ES,C2GDP_GAP,0.5584991781819808
ES,CPI_INFL,0.08942559560253582
ES,CREDIT_GROWTH,0.42122028471124123
ES,CS_CORP,0.10452050411412729
ES,DSR,0.12475683711178484
ES,EPU,-0.1438160725497471
ES,GDP_GROWTH,-0.18988018298697434
ES,HPI_GROWTH,0.24291849795513784
ES,LIQ_SPREAD,0.17795519736371745
ES,TS_SLOPE,0.23127690641341195
ES,UNEMP,-0.513114311284362
ES,VIX_EQ,0.10943536432630947
UK,C2GDP_GAP,0.26627733027102574
UK,CPI_INFL,0.023969647671555072
UK,CREDIT_GROWTH,-0.11420573455552717
UK,CS_CORP,0.5193215650005564
UK,DSR,0.299746425776643
UK,EPU,-0.13565969813729148
UK,GDP_GROWTH,0.38044865094430796
UK,HPI_GROWTH,-0.1882847833787474
UK,LIQ_SPREAD,0.317461424570464
UK,TS_SLOPE,0.049640394205803996
UK,UNEMP,0.108519143618147
UK,VIX_EQ,0.49225792346442715
US,C2GDP_GAP,0.03782084274222404
US,CPI_INFL,-0.05340444544460308
US,CREDIT_GROWTH,-0.24817454010543583
US,CS_CORP,0.45924488136973834
US,DSR,0.1354256848128723
US,EPU,0.2448417606734717
US,GDP_GROWTH,0.29449972495053184
US,HPI_GROWTH,-0.5095057542598642
US,LIQ_SPREAD,0.1997437012971598
US,TS_SLOPE,-0.06107781414987496
US,UNEMP,0.3288460673266708
US,VIX_EQ,0.3831964229454227
