date,country_code,fci_pca
1999-01-31,DE,1.9539857397815037
1999-01-31,UK,0.2986868999272042
1999-01-31,US,-0.9166518977517674
1999-02-28,DE,1.9978185462987812
1999-02-28,UK,0.21769672574016233
1999-02-28,US,-1.0191805790161461
1999-03-31,DE,1.8125575013697186
1999-03-31,UK,-0.09219745385802622
1999-03-31,US,-1.384705571340753
1999-04-30,DE,1.8300566532847868
1999-04-30,UK,0.0020531597162553625
1999-04-30,US,-1.3337237975912055
1999-05-31,DE,1.8745087006560588
1999-05-31,UK,0.029512462145176256
1999-05-31,US,-1.2833614930774373
1999-06-30,DE,1.7432579708065208
1999-06-30,UK,-0.04750543484152005
1999-06-30,US,-1.2853163408659745
1999-07-31,DE,1.5841017346133723
1999-07-31,UK,-0.3019561892639897
1999-07-31,US,-1.3161648916570574
1999-08-31,DE,1.80716476233561
1999-08-31,UK,-0.022187671231198407
1999-08-31,US,-1.174512840349842
1999-09-30,DE,1.8212361750876171
1999-09-30,UK,0.1191790025978542
1999-09-30,US,-1.076937846513763
1999-10-31,DE,2.0623195565715693
1999-10-31,UK,0.32133772041475533
1999-10-31,US,-0.9620800544781385
1999-11-30,DE,1.8331865597432235
1999-11-30,UK,-0.0391373369703624
1999-11-30,US,-1.1196668384408175
1999-12-31,DE,1.8193464867672964
1999-12-31,UK,-0.10376190590714515
1999-12-31,US,-1.1803390464413326
2000-01-31,DE,2.1932728337382854
2000-01-31,UK,-0.28877801238898293
2000-01-31,US,-1.079774633219889
2000-02-29,DE,2.1632154547917763
2000-02-29,UK,-0.37241130431147296
2000-02-29,US,-1.1888864204026597
2000-03-31,DE,2.0825573906613917
2000-03-31,UK,-0.3923042022111381
2000-03-31,US,-1.2318997341267037
2000-04-30,DE,2.4976989286886035
2000-04-30,UK,0.263189172933163
2000-04-30,US,-1.0197560202731493
2000-05-31,DE,2.559222178838776
2000-05-31,UK,0.5208677322623212
2000-05-31,US,-0.6721566192033711
2000-06-30,DE,2.39239415585359
2000-06-30,UK,0.312956297820808
2000-06-30,US,-0.9004715092624135
2000-07-31,DE,2.229324300322727
2000-07-31,UK,0.2896136978663692
2000-07-31,US,-1.0151494226772462
2000-08-31,DE,2.1249128825151162
2000-08-31,UK,0.019412817060740935
2000-08-31,US,-1.255391873917721
2000-09-30,DE,2.2190948864622495
2000-09-30,UK,0.17804011384121265
2000-09-30,US,-1.1192658431777123
2000-10-31,DE,3.2780019356178296
2000-10-31,UK,0.6931495828663716
2000-10-31,US,-0.5669869349685364
2000-11-30,DE,3.4385650887509294
2000-11-30,UK,0.754460853411785
2000-11-30,US,-0.24331858185127628
2000-12-31,DE,3.6351244731033807
2000-12-31,UK,1.0117569883113606
2000-12-31,US,-0.13707735326957096
2001-01-31,DE,3.360733922465782
2001-01-31,ES,2.0598603613011264
2001-01-31,UK,0.8768417340109916
2001-01-31,US,-0.1603335761398263
2001-02-28,DE,3.1824360925609785
2001-02-28,ES,1.8741972935395035
2001-02-28,UK,0.6001856206475746
2001-02-28,US,-0.3550350492245762
2001-03-31,DE,3.6157660296232725
2001-03-31,ES,2.1316032913659866
2001-03-31,UK,0.9993159526983683
2001-03-31,US,0.03862115945149467
