date,country_code,C2GDP_GAP,CPI_INFL,CREDIT_GROWTH,CS_CORP,DSR,EPU,GDP_GROWTH,HPI_GROWTH,LIQ_SPREAD,TS_SLOPE,UNEMP,VIX_EQ
1954-10-31,US,,,8.16948446850072,,,,,,,,,
1954-11-30,US,,,8.16948446850072,,,,,,,,,
1954-12-31,US,,,8.16948446850072,,,,,,,,,
1955-01-31,US,,,9.68950065430898,,,,,,,,4.9,
1955-02-28,US,,,9.68950065430898,,,,,,,,4.7,
1955-03-31,ES,,3.260209,,,,,,,,,,
1955-03-31,US,,,9.68950065430898,,,,,,,,4.6,
1955-04-30,ES,,3.618108,,,,,,,,,,
1955-04-30,US,,,11.886274814297181,,,,,,,,4.7,
1955-05-31,ES,,3.678935,,,,,,,,,,
1955-05-31,US,,,11.886274814297181,,,,,,,,4.3,
1955-06-30,ES,,3.783918,,,,,,,,,,
1955-06-30,US,,,11.886274814297181,,,,,,,,4.2,
1955-07-31,ES,,3.68903,,,,,,,,,,
1955-07-31,US,,,12.702869042500264,,,,,,,,4.0,
1955-08-31,ES,,4.315866000000001,,,,,,,,,,
1955-08-31,US,,,12.702869042500264,,,,,,,,4.2,
1955-09-30,ES,,4.955671,,,,,,,,,,
1955-09-30,US,,,12.702869042500264,,,,,,,,4.1,
1955-10-31,ES,,5.264783,,,,,,,,,,
1955-10-31,US,,,13.679154501639967,,,,,,,,4.3,
1955-11-30,ES,,4.828011,,,,,,,,,,
1955-11-30,US,,,13.679154501639967,,,,,,,,4.2,
1955-12-31,ES,,4.216529,,,,,,,,,,
1955-12-31,US,,,13.679154501639967,,,,,,,,4.2,
1956-01-31,DE,,1.246106,19.95156407669021,,,,,,,,,
1956-01-31,ES,,3.685004,,,,,,,,,,
1956-01-31,UK,,5.08167,,,,,,,,,,
1956-01-31,US,,0.3745317999999999,13.398782074971471,,,,,,,,4.0,
1956-02-29,DE,,2.194357,19.95156407669021,,,,,,,,,
1956-02-29,ES,,4.620866,,,,,,,,,,
1956-02-29,UK,,5.08167,,,,,,,,,,
1956-02-29,US,,0.3745317999999999,13.398782074971471,,,,,,,,3.9,
1956-03-31,DE,,3.761755,19.95156407669021,,,,,,,,,
1956-03-31,ES,,5.222757,,,,,,,,,,
1956-03-31,UK,,6.447731,,,,,,,,,,
1956-03-31,US,,0.3745317999999999,13.398782074971471,,,,,,,,4.2,
1956-04-30,DE,,3.761755,20.23085563775806,,,,,,,,,
1956-04-30,ES,,5.7511790000000005,,,,,,,,,,
1956-04-30,UK,,7.334476,,,,,,,,,,
1956-04-30,US,,0.7490637,12.311808680029435,,,,,,,,4.0,
1956-05-31,DE,,3.773585,20.23085563775806,,,,,,,,,
1956-05-31,ES,,6.18768,,,,,,,,,,
1956-05-31,UK,,7.319168,,,,,,,,,,
1956-05-31,US,,1.123595,12.311808680029435,,,,,,,,4.3,
1956-06-30,DE,,3.4482760000000003,20.23085563775806,,,,,,,,,
1956-06-30,ES,,6.1158790000000005,,,,,,,,,,
1956-06-30,UK,,5.030293,,,,,,,,,,
1956-06-30,US,,1.872659,12.311808680029435,,,,,,,,4.3,
1956-07-31,DE,,2.47678,17.478805750092153,,,,,,,,,
1956-07-31,ES,,5.792408,,,,,,,,,,
1956-07-31,UK,,4.250662,,,,,,,,,,
1956-07-31,US,,2.2388060000000003,11.231092625562923,,,,,,,,4.4,
1956-08-31,DE,,2.492212,17.478805750092153,,,,,,,,,
1956-08-31,ES,,5.7511790000000005,,,,,,,,,,
1956-08-31,UK,,5.3008,,,,,,,,,,
1956-08-31,US,,1.865672,11.231092625562923,,,,,,,,4.1,
1956-09-30,DE,,2.803738,17.478805750092153,,,,,,,,,
1956-09-30,ES,,5.800029,,,,,,,,,,
1956-09-30,UK,,4.445053,,,,,,,,,,
1956-09-30,US,,1.858736,11.231092625562923,,,,,,,,3.9,
1956-10-31,DE,,1.846154,14.03343782654125,,,,,,,,,
1956-10-31,ES,,5.868714,,,,,,,,,,
1956-10-31,UK,,3.956818,,,,,,,,,,
1956-10-31,US,,2.230483,9.968409715543359,,,,,,,,3.9,
1956-11-30,DE,,1.840491,14.03343782654125,,,,,,,,,
1956-11-30,ES,,6.8796800000000005,,,,,,,,,,
1956-11-30,UK,,2.745095,,,,,,,,,,
1956-11-30,US,,2.230483,9.968409715543359,,,,,,,,4.3,
1956-12-31,DE,,1.834862,14.03343782654125,,,,,,,,,
1956-12-31,ES,,8.436142,,,,,,,,,,
1956-12-31,UK,,3.044062,,,,,,,,,,
1956-12-31,US,,2.985075,9.968409715543359,,,,,,,,4.2,
1957-01-31,DE,,2.769231,12.463826637054964,,,,,,,,,
1957-01-31,ES,,10.28946,,,,,,,,,,
1957-01-31,UK,,4.4,,,,,,,,,,
1957-01-31,US,,2.985075,9.553530945363864,,,,,,,,4.2,
1957-02-28,DE,,2.4539880000000003,12.463826637054964,,,,,,,,,
1957-02-28,ES,,9.541323,,,,,,,,,,
1957-02-28,UK,,4.3,,,,,,,,,,
1957-02-28,US,,3.3582089999999996,9.553530945363864,,,,,,,,3.9,
1957-03-31,DE,,0.3021147999999999,12.463826637054964,,,,,,,,,
1957-03-31,ES,,9.057791,,,,,,,,,,
1957-03-31,UK,,2.764067,,,,,,,,,,
1957-03-31,US,,3.731343,9.553530945363864,,,,,,,,3.7,
1957-04-30,DE,,0.9063444,9.906572164948457,,,,,,,,,
1957-04-30,ES,,8.379595,,,,,,,,,,
1957-04-30,UK,,1.752678,,,,,,,,,,
1957-04-30,US,,3.717472,9.212147841997043,,,,,,,,3.9,
1957-05-31,DE,,1.515152,9.906572164948457,,,,,,,,,
1957-05-31,ES,,8.146898,,,,,,,,,,
1957-05-31,UK,,2.04878,,,,,,,,,,
1957-05-31,US,,3.703704,9.212147841997043,,,,,,,,4.1,
1957-06-30,DE,,2.121212,9.906572164948457,,,,,,,,,
1957-06-30,ES,,8.229419,,,,,,,,,,
1957-06-30,UK,,3.222656,,,,,,,,,,
1957-06-30,US,,3.308824,9.212147841997043,,,,,,,,4.3,
1957-07-31,DE,,2.719033,9.864457831325302,,,,,,,,,
1957-07-31,ES,,10.25572,,,,,,,,,,
1957-07-31,UK,,4.509804,,,,,,,,,,
1957-07-31,US,,3.284672,8.765800331558982,,,,,,,,4.2,
1957-08-31,DE,,3.039514,9.864457831325302,,,,,,,,,
1957-08-31,ES,,11.62596,,,,,,,,,,
1957-08-31,UK,,4.00782,,,,,,,,,,
1957-08-31,US,,3.663004,8.765800331558982,,,,,,,,4.1,
1957-09-30,DE,,2.424242,9.864457831325302,,,,,,,,,
1957-09-30,ES,,12.3967,,,,,,,,,,
1957-09-30,UK,,3.917728,,,,,,,,,,
1957-09-30,US,,3.284672,8.765800331558982,,,,,,,,4.4,
1957-10-31,DE,,2.416919,10.543999511286263,,,,,,,,,
1957-10-31,ES,,13.76297,,,,,,,,,,
1957-10-31,UK,,4.2843230000000005,,,,,,,,,,
1957-10-31,US,0.8,2.909091,7.95765351746367,,,,,,,,4.5,
1957-11-30,DE,,2.409639,10.543999511286263,,,,,,,,,
1957-11-30,ES,,14.03178,,,,,,,,,,
1957-11-30,UK,,4.461688,,,,,,,,,,
1957-11-30,US,0.8,3.272727,7.95765351746367,,,,,,,,5.1,
1957-12-31,DE,,2.102102,10.543999511286263,,,,,,,,,
1957-12-31,ES,,13.23101,,,,,,,,,,
1957-12-31,UK,,4.6421660000000005,,,,,,,,,,
1957-12-31,US,0.8,2.898551,7.95765351746367,,,,,,,,5.2,
1958-01-31,DE,,2.694611,10.621746155227108,,,,,,,,,
1958-01-31,ES,,11.98028,,,,,,,,,,
1958-01-31,UK,,3.544061,,,,,,,,,,
1958-01-31,US,0.5,3.623188,6.972458079243649,,,,,,,,5.8,
1958-02-28,DE,,2.994012,10.621746155227108,,,,,,,,,
1958-02-28,ES,,11.47586,,,,,,,,,,
1958-02-28,UK,,3.16395,,,,,,,,,,
1958-02-28,US,0.5,3.249098,6.972458079243649,,,,,,,,6.4,
1958-03-31,DE,,3.614458,10.621746155227108,,,,,,,,,
1958-03-31,ES,,13.06248,,,,,,,,,,
1958-03-31,UK,,4.130644,,,,,,,,,,
1958-03-31,US,0.5,3.597122,6.972458079243649,,,,,,,,6.7,
1958-04-30,DE,,2.994012,11.220870584786734,,,,,,,,,
1958-04-30,ES,,14.97693,,,,,,,,,,
1958-04-30,UK,,4.880383,,,,,,,,,,
1958-04-30,US,1.1,3.584229,5.817122273665953,,,,,,,,7.4,
1958-05-31,DE,,3.58209,11.220870584786734,,,,,,,,,
1958-05-31,ES,,15.42393,,,,,,,,,,
1958-05-31,UK,,4.3977059999999994,,,,,,,,,,
1958-05-31,US,1.1,3.214286,5.817122273665953,,,,,,,,7.4,
1958-06-30,DE,,3.264095,11.220870584786734,,,,,,,,,
1958-06-30,ES,,15.56579,,,,,,,,,,
1958-06-30,UK,,4.257332,,,,,,,,,,
1958-06-30,US,1.1,2.846975,5.817122273665953,,,,,,,,7.3,
1958-07-31,DE,,1.764706,11.309115832762174,,,,,,,,,
1958-07-31,ES,,14.54498,,,,,,,,,,
1958-07-31,UK,,1.7823639999999998,,,,,,,,,,
1958-07-31,US,1.3,2.473498,5.810771956185001,,,,,,,,7.5,
1958-08-31,DE,,0.8849558000000001,11.309115832762174,,,,,,,,,
1958-08-31,ES,,13.696270000000002,,,,,,,,,,
1958-08-31,UK,,1.785714,,,,,,,,,,
1958-08-31,US,1.3,2.120141,5.810771956185001,,,,,,,,7.4,
1958-09-30,DE,,0.591716,11.309115832762174,,,,,,,,,
1958-09-30,ES,,13.87257,,,,,,,,,,
1958-09-30,UK,,2.167766,,,,,,,,,,
1958-09-30,US,1.3,2.120141,5.810771956185001,,,,,,,,7.1,
1958-10-31,DE,,0.8849558000000001,12.229559835318149,,,,,,,,,
1958-10-31,ES,,12.55403,,,,,,,,,,
1958-10-31,UK,,2.147526,,,,,,,,,,
